id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66
us1l8,685,1464,105,20278.0,977.0,735.0,760.0,1165.0,105.0,21355.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qe20c,929,105,4275,105.0,20278.0,1045.0,735.0,929.0,105.0,4004.0,105.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ki7y2,111,4187,17980,1027.0,694.0,4491.0,1195.0,20022.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4a4z,10477,697,1159,20278.0,1104.0,103.0,7943.0,929.0,102.0,21606.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oikov,760,1165,906,102.0,21606.0,1080.0,24438.0,20645.0,161.0,824.0,685.0,2207.0,8615.0,906.0,102.0,17980.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ljkt0,1076,658,643,1725.0,3675.0,1001.0,10686.0,10909.0,704.0,111.0,2125.0,1101.0,685.0,2207.0,8615.0,108.0,102.0,4311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpge4,1076,658,2971,169.0,4822.0,1244.0,102.0,20278.0,977.0,735.0,160.0,13581.0,1243.0,102.0,15881.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcna,929,1265,15342,977.0,606.0,929.0,979.0,15881.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
che7n,2736,102,1012,4037.0,103.0,4539.0,102.0,992.0,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogx9r,10477,697,102,15342.0,1104.0,103.0,12516.0,1143.0,102.0,20278.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgrw5,685,2207,8615,1244.0,15881.0,1045.0,103.0,7943.0,1244.0,102.0,15881.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfubs,7943,4507,102,15342.0,977.0,24438.0,697.0,1068.0,5289.0,685.0,1464.0,114.0,102.0,15342.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wapr9,603,659,14548,610.0,883.0,611.0,4899.0,701.0,605.0,27813.0,1777.0,104.0,13599.0,674.0,613.0,4425.0,1126.0,2125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgiuf,20278,1027,103,4556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcriy,15881,1104,103,20022.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qdah4,20242,8534,14151,1749.0,760.0,1165.0,102.0,21606.0,1104.0,103.0,114.0,603.0,1433.0,709.0,4535.0,621.0,760.0,1165.0,102.0,21606.0,1080.0,103.0,4425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etkvx,836,907,102,881.0,24438.0,697.0,975.0,685.0,2207.0,8615.0,1012.0,102.0,10795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpgn5,1076,658,2971,836.0,110.0,102.0,15881.0,1071.0,735.0,12516.0,5451.0,4521.0,2669.0,1012.0,102.0,21355.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szm6g,836,105,20278,1104.0,103.0,685.0,2207.0,8615.0,105.0,17980.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jgadl,685,1464,775,17980.0,977.0,103.0,760.0,1165.0,114.0,102.0,20022.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbncb,929,1244,105,4692.0,606.0,929.0,105.0,992.0,4556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zut2q,109,105,1243,105.0,849.0,735.0,867.0,105.0,1012.0,105.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l5rje,4491,1265,105,1265.0,606.0,929.0,105.0,867.0,2602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrns8,12516,1143,105,20022.0,1027.0,735.0,760.0,1593.0,8615.0,105.0,21355.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbme2,609,1433,21169,610.0,1128.0,621.0,169.0,4822.0,21367.0,697.0,1072.0,1127.0,606.0,115.0,867.0,4117.0,104.0,630.0,1192.0,604.0,13308.0,102.0,695.0,709.0,4194.0,11743.0,1027.0,1052.0,606.0,603.0,1009.0,15638.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ute2e,685,1464,21606,1104.0,103.0,760.0,1165.0,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t19sx,685,2207,8615,4507.0,102.0,17980.0,1104.0,24438.0,697.0,1068.0,5289.0,7943.0,4275.0,102.0,10795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faxfp,10477,697,105,20278.0,995.0,103.0,685.0,1464.0,105.0,17980.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
js127,15342,977,102,1353.0,113.0,103.0,1081.0,102.0,979.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1cyg,760,1165,102,17980.0,1104.0,103.0,10477.0,697.0,102.0,20022.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m85lc,1338,621,836,102.0,910.0,103.0,1159.0,606.0,10686.0,10909.0,704.0,102.0,833.0,103.0,14398.0,1048.0,1356.0,709.0,1984.0,611.0,111.0,785.0,836.0,102.0,910.0,103.0,1159.0,606.0,10686.0,10909.0,704.0,102.0,833.0,103.0,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6m4c,685,2207,8615,907.0,102.0,17980.0,975.0,606.0,836.0,1244.0,102.0,17980.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ojoeq,760,1165,1353,102.0,21355.0,977.0,24438.0,20645.0,161.0,824.0,7943.0,1126.0,102.0,17980.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7gpc,23070,681,606,822.0,607.0,1489.0,2664.0,995.0,604.0,2088.0,102.0,603.0,5020.0,709.0,4232.0,611.0,4385.0,1059.0,1777.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txpss,7943,105,1455,105.0,4037.0,694.0,836.0,105.0,992.0,105.0,4429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rx080,760,1593,8615,1127.0,871.0,103.0,10477.0,697.0,1126.0,102.0,21606.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x4cep,685,1464,113,102.0,21040.0,1071.0,24438.0,697.0,975.0,760.0,1593.0,8615.0,1243.0,102.0,21606.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tf44v,7943,1072,102,21355.0,1071.0,24438.0,697.0,975.0,760.0,1165.0,976.0,102.0,21040.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jr4u8,685,2207,8615,21606.0,1068.0,103.0,164.0,889.0,20278.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3mxe,109,992,105,3231.0,606.0,867.0,105.0,4275.0,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kbd9e,609,10211,8430,1391.0,709.0,1338.0,621.0,1743.0,604.0,685.0,1464.0,102.0,4706.0,606.0,603.0,814.0,604.0,109.0,1455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihyge,685,1464,1353,102.0,15881.0,1045.0,606.0,685.0,2207.0,8615.0,906.0,102.0,1117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xz8ex,836,20022,1080,103.0,760.0,1165.0,15342.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jt88u,867,4004,105,1455.0,606.0,109.0,105.0,979.0,4603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5hvg,760,1593,8615,102.0,21040.0,1045.0,103.0,10477.0,697.0,102.0,21355.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma1ua,612,603,5030,912.0,4835.0,610.0,613.0,775.0,1126.0,4004.0,102.0,772.0,604.0,769.0,16989.0,912.0,2082.0,709.0,4782.0,606.0,2125.0,1080.0,1052.0,724.0,104.0,1122.0,603.0,1702.0,1052.0,670.0,4966.0,701.0,102.0,912.0,1433.0,709.0,1331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u35ob,621,169,4822,867.0,102.0,21040.0,1104.0,606.0,106.0,4822.0,929.0,102.0,15881.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekvbn,7943,4491,102,21040.0,1059.0,606.0,10477.0,697.0,929.0,102.0,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhwh2,685,2207,8615,105.0,1243.0,105.0,887.0,103.0,760.0,1165.0,105.0,4004.0,105.0,15881.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dkej8,4347,1012,20278,1045.0,694.0,867.0,906.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2vhn,4491,105,1243,105.0,20022.0,1068.0,735.0,4347.0,105.0,1455.0,105.0,21040.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mq9l3,15881,975,103,2664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikf1d,760,1165,105,17980.0,1104.0,103.0,760.0,1593.0,8615.0,105.0,15881.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f17fv,4347,989,1081,694.0,929.0,906.0,21355.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ofqqc,1338,621,10686,10909.0,704.0,102.0,21606.0,977.0,103.0,867.0,606.0,164.0,17762.0,2613.0,102.0,20022.0,1104.0,103.0,2335.0,1048.0,1356.0,709.0,1984.0,611.0,111.0,785.0,10686.0,10909.0,704.0,102.0,21606.0,977.0,103.0,867.0,606.0,164.0,17762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rgt4j,2791,10140,3133,613.0,685.0,1464.0,867.0,1244.0,117.0,603.0,659.0,14548.0,610.0,883.0,611.0,1265.0,701.0,605.0,21692.0,1777.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y4gao,12516,1143,105,21355.0,975.0,103.0,10477.0,697.0,105.0,20278.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labkv,609,1433,21169,610.0,1128.0,621.0,12516.0,5451.0,4187.0,4391.0,606.0,107.0,992.0,1265.0,104.0,630.0,1192.0,604.0,13308.0,102.0,695.0,709.0,4194.0,8423.0,1059.0,1052.0,606.0,603.0,1009.0,15638.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8wyz,929,992,105,4599.0,606.0,4347.0,105.0,1127.0,4037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsamg,7943,1012,15342,975.0,103.0,836.0,1353.0,102.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qu1pu,685,1464,109,102.0,20022.0,1071.0,24438.0,697.0,975.0,836.0,1126.0,102.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swa00,1076,658,8690,1749.0,621.0,107.0,1243.0,20022.0,1104.0,694.0,109.0,4425.0,21040.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8o8j,685,1464,1243,102.0,21606.0,975.0,7362.0,2621.0,166.0,685.0,2207.0,8615.0,103.0,906.0,102.0,21355.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io1rm,10477,697,105,112.0,105.0,15342.0,1080.0,103.0,760.0,1593.0,8615.0,105.0,775.0,105.0,21606.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuqd4,929,105,113,105.0,21606.0,1068.0,735.0,867.0,105.0,4037.0,105.0,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1fhu,1076,658,3316,10477.0,697.0,105.0,107.0,105.0,4073.0,822.0,10477.0,697.0,105.0,1244.0,105.0,2578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lqdm9,688,1433,709,1338.0,621.0,108.0,110.0,4966.0,606.0,114.0,979.0,4899.0,102.0,607.0,1192.0,603.0,1433.0,760.0,9044.0,618.0,751.0,3379.0,102.0,603.0,1433.0,3752.0,7508.0,4498.0,1736.0,709.0,6532.0,606.0,775.0,907.0,4167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ukl36,111,4275,15342,1045.0,103.0,109.0,775.0,20022.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgn44,929,105,114,105.0,15881.0,975.0,735.0,867.0,105.0,929.0,105.0,15881.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko1li,760,1593,8615,105.0,111.0,105.0,3362.0,694.0,760.0,1165.0,105.0,775.0,105.0,2640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x8x2i,685,1464,21355,1080.0,103.0,685.0,1464.0,15881.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haazk,929,905,887,606.0,929.0,907.0,17980.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsz1g,836,102,20278,1027.0,103.0,836.0,102.0,20022.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruwu1,609,1433,21169,610.0,1128.0,621.0,10477.0,697.0,1126.0,1265.0,606.0,929.0,1126.0,4556.0,104.0,630.0,1192.0,604.0,13308.0,102.0,695.0,709.0,4194.0,3835.0,1045.0,1052.0,606.0,603.0,1009.0,15638.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmlld,164,17762,2613,105.0,871.0,103.0,164.0,889.0,105.0,15342.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbv9e,109,115,21355,1068.0,694.0,111.0,111.0,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vjaie,867,4491,21040,1045.0,103.0,109.0,976.0,15881.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9j7y,609,7179,709,4642.0,728.0,607.0,603.0,1743.0,604.0,4275.0,102.0,1244.0,102.0,605.0,814.0,735.0,603.0,822.0,604.0,111.0,102.0,3362.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulld7,929,907,21040,977.0,103.0,867.0,115.0,20278.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a20a9,621,714,4385,775.0,1455.0,606.0,714.0,4347.0,4037.0,4129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uixua,609,5020,709,822.0,613.0,1489.0,21625.0,604.0,3065.0,102.0,670.0,24413.0,1777.0,604.0,1419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uofgj,836,102,946,103.0,10477.0,697.0,102.0,17980.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaz0x,609,5020,709,822.0,613.0,1489.0,25567.0,604.0,4167.0,102.0,670.0,1244.0,1045.0,1777.0,604.0,1419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rqhwz,1338,621,685,2207.0,8615.0,102.0,15342.0,995.0,103.0,907.0,606.0,685.0,2207.0,8615.0,102.0,21355.0,975.0,103.0,1455.0,12298.0,616.0,1356.0,709.0,1984.0,611.0,111.0,785.0,685.0,2207.0,8615.0,102.0,15342.0,995.0,103.0,907.0,606.0,685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhk4y,21040,1071,103,21040.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srlhh,10477,697,105,20278.0,1080.0,735.0,7943.0,105.0,20278.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h5ru9,760,1593,8615,105.0,1455.0,105.0,4899.0,694.0,836.0,105.0,979.0,105.0,4046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uzxim,836,102,20022,1080.0,103.0,836.0,102.0,21040.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocsjp,622,97,173,1471.0,108.0,164.0,17762.0,2613.0,2224.0,117.0,603.0,1465.0,608.0,908.0,907.0,1308.0,989.0,701.0,1903.0,102.0,605.0,709.0,2646.0,22154.0,1080.0,1052.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpbsy,760,1593,8615,1455.0,102.0,17980.0,1059.0,24438.0,697.0,975.0,760.0,1593.0,8615.0,4129.0,102.0,868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2hot,15881,1071,103,2125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
